aX,aY,aZ,gX,gY,gZ
-0.734,0.258,0.571,-85.754,13.184,-58.96
-0.718,0.208,0.56,-85.876,11.78,-63.171
-0.711,0.136,0.562,-84.534,10.376,-66.589
-0.731,0.05,0.58,-83.313,9.094,-70.496
-0.752,-0.031,0.595,-83.008,8.545,-74.89
-0.768,-0.114,0.602,-83.923,9.46,-79.529
-0.758,-0.192,0.59,-85.571,11.047,-83.801
-0.723,-0.246,0.572,-88.013,12.207,-87.524
-0.681,-0.25,0.567,-89.905,12.634,-90.088
-0.652,-0.221,0.591,-89.355,11.78,-91.064
-0.657,-0.26,0.632,-85.144,10.071,-89.783
-0.696,-0.352,0.691,-79.529,8.545,-87.036
-0.725,-0.453,0.721,-76.477,8.301,-84.045
-0.731,-0.503,0.756,-77.393,9.705,-81.36
-0.757,-0.531,0.791,-79.529,11.78,-79.285
-0.781,-0.581,0.818,-81.116,14.099,-76.782
-0.79,-0.644,0.81,-82.642,16.357,-73.425
-0.794,-0.699,0.807,-85.144,18.433,-69.397
-0.782,-0.737,0.8,-87.891,20.142,-65.186
-0.746,-0.757,0.778,-89.905,21.362,-61.218
-0.712,-0.762,0.754,-90.149,21.729,-58.594
-0.676,-0.737,0.729,-88.074,20.996,-56.58
-0.659,-0.685,0.735,-82.52,19.287,-54.993
-0.655,-0.671,0.745,-72.754,16.541,-53.04
-0.645,-0.73,0.748,-60.852,13.306,-51.025
-0.64,-0.811,0.741,-51.025,9.827,-50.354
-0.649,-0.872,0.73,-45.41,6.409,-51.025
-0.641,-0.886,0.731,-43.03,3.845,-51.758
-0.642,-0.839,0.755,-41.016,1.953,-51.697
-0.645,-0.838,0.752,-35.645,-0.244,-49.927
-0.619,-0.917,0.712,-28.198,-2.563,-45.959
-0.574,-0.995,0.654,-23.804,-5.859,-40.71
-0.525,-1.022,0.595,-23.132,-10.437,-34.058
-0.481,-0.991,0.548,-24.17,-16.968,-26.001
-0.448,-0.911,0.517,-23.926,-25.269,-16.602
-0.43,-0.809,0.513,-20.386,-34.18,-6.775
-0.521,-0.605,0.679,-12.329,-42.48,2.014
-1.182,0.214,2.013,7.629,-43.518,14.221
-2.315,-1.502,4,79.712,4.456,46.265
0.48,-2.16,1.054,118.591,148.376,79.712
1.366,-1.466,-0.346,27.1,190.979,71.35
0.291,-1.057,0.989,-19.287,115.845,60.913
