aX,aY,aZ,gX,gY,gZ
-0.173,0.007,0.582,1.953,-11.414,-1.465
-0.159,-0.037,0.645,9.705,-18.738,-10.193
-0.113,-0.098,0.692,16.663,-24.414,-18.433
-0.056,-0.137,0.742,21.362,-28.931,-24.597
0.031,-0.192,0.787,23.987,-32.898,-28.259
0.132,-0.241,0.839,23.682,-37.415,-29.358
0.176,-0.262,0.904,20.996,-41.992,-28.625
0.196,-0.26,0.967,18.25,-44.739,-26.123
0.276,-0.257,0.989,16.846,-43.884,-22.095
0.407,-0.224,0.987,15.686,-41.016,-17.944
0.496,-0.19,1.004,15.137,-38.452,-14.343
0.52,-0.181,1.05,15.015,-36.255,-11.169
0.497,-0.191,1.09,14.771,-33.997,-8.301
0.433,-0.208,1.094,14.099,-30.579,-5.005
0.375,-0.203,1.095,11.536,-25.024,-2.014
0.307,-0.225,1.069,8.484,-21.423,2.136
0.256,-0.26,1.039,4.395,-16.602,4.578
0.224,-0.233,1.03,-1.77,-11.719,4.028
0.204,-0.191,0.997,-5.554,-9.827,2.502
0.188,-0.177,0.968,-5.493,-9.705,1.221
0.151,-0.221,0.946,-2.991,-11.047,0.183
0.122,-0.289,0.929,-1.709,-12.878,-0.488
0.129,-0.301,0.936,-2.563,-14.343,-1.038
0.156,-0.253,0.933,-2.991,-15.747,-2.136
0.179,-0.195,0.922,0.244,-16.846,-3.296
0.213,-0.189,0.903,6.531,-17.212,-4.578
0.225,-0.177,0.889,12.634,-17.273,-6.165
0.206,-0.199,0.898,16.602,-17.212,-6.531
0.181,-0.273,0.913,17.273,-16.418,-5.615
0.169,-0.312,0.917,12.39,-15.808,-4.211
0.166,-0.273,0.914,4.883,-15.381,-2.869
0.136,-0.215,0.912,-0.549,-15.015,-1.465
0.111,-0.227,0.884,-0.977,-14.343,0.977
0.091,-0.266,0.844,-0.854,-13.367,3.296
0.046,-0.251,0.806,-2.441,-13,4.456
0.013,-0.257,0.805,-3.235,-13.794,5.493
-0.019,-0.278,0.82,-3.296,-16.113,5.798
-0.101,-0.276,0.837,-3.174,-18.982,4.761
-0.19,-0.283,0.841,-1.099,-20.386,2.747
-0.24,-0.345,0.807,2.075,-19.714,1.221
-0.244,-0.389,0.742,3.113,-18.494,0.366
-0.198,-0.392,0.685,1.282,-19.043,0
-0.121,-0.329,0.666,-0.305,-22.156,0.427
-0.052,-0.187,0.675,2.136,-26.978,-0.244
0.021,-0.078,0.71,11.414,-31.128,-1.953
0.053,-0.023,0.769,26.123,-34.119,-6.409
0.062,-0.021,0.838,41.87,-34.546,-14.221
0.079,-0.05,0.901,54.077,-32.593,-24.109
0.096,-0.079,0.96,60.852,-29.602,-34.058
0.093,-0.14,1.01,62.5,-26.55,-41.382
0.083,-0.249,1.051,58.655,-23.987,-44.25
0.06,-0.379,1.078,48.34,-21.606,-41.931
0.03,-0.442,1.086,32.715,-20.081,-36.011
0.036,-0.417,1.078,16.785,-18.921,-28.198
0.054,-0.359,1.062,7.019,-18.921,-20.325
0.069,-0.339,1.057,5.31,-20.325,-14.648
0.055,-0.341,1.083,8.728,-22.888,-12.329
0.001,-0.316,1.132,14.648,-25.146,-13.55
-0.033,-0.289,1.166,21.912,-25.208,-16.296
-0.011,-0.313,1.155,29.358,-22.827,-18.677
0.049,-0.339,1.119,32.043,-20.142,-19.714
0.107,-0.316,1.089,29.175,-19.409,-19.897
0.133,-0.255,1.089,23.804,-20.996,-19.226
0.147,-0.218,1.102,19.714,-23.376,-18.433
0.167,-0.226,1.117,16.968,-24.902,-18.86
0.193,-0.275,1.133,13.855,-25.452,-19.958
-0.373,-0.708,2.135,-19.592,-321.411,-49.561
-0.738,-0.98,2.398,-30.212,-362.305,-67.078
-0.798,-0.993,2.358,-51.392,-382.019,-90.027
-0.908,-0.873,2.322,-78.857,-401.001,-107.361
-0.672,-1.07,2.034,-94.482,-417.664,-117.004
-0.181,-1.324,1.449,-116.943,-443.848,-126.343
0.148,-1.33,0.568,-155.151,-472.046,-131.775
-2.127,-0.926,1.364,-202.087,-497.437,-110.474
-4,-0.809,3.553,-179.321,-479.919,-11.658
-4,-2.513,4,-97.168,-277.039,118.225
-3.004,-2.659,3.411,-124.817,-2.502,166.809
-0.609,-0.943,2.382,-217.957,186.829,137.207
0.333,0.828,1.908,-245.056,252.747,78.064
-0.003,1.392,1.804,-163.879,255.859,22.4
-0.688,0.723,1.667,-28.503,256.287,-18.25
-1.456,-0.422,1.464,76.782,270.935,-43.396
-1.992,-1.184,1.239,113.831,303.467,-57.983
-2.154,-1.242,0.991,96.069,344.727,-56.824
-2.048,-0.858,0.745,65.369,378.967,-36.865
-1.88,-0.529,0.454,52.307,397.156,-2.991
-1.792,-0.361,0.197,52.795,396.912,37.231
-1.84,-0.264,0.023,55.481,383.606,75.562
-1.915,-0.137,-0.057,54.626,364.624,107.178
-1.962,-0.015,-0.071,52.002,344.482,131.287
-2.044,0.129,-0.041,48.401,324.829,147.949
-2.128,0.288,-0.003,45.41,307.373,156.494
-2.176,0.439,0.004,43.518,293.518,157.959
-2.193,0.535,-0.003,44.556,283.63,153.32
-2.185,0.536,-0.029,48.34,276.611,143.921
-2.125,0.432,-0.079,51.819,270.813,133.728
-2.027,0.262,-0.149,48.828,263.794,124.939
-1.897,0.086,-0.228,34.912,254.944,118.713
-1.765,-0.015,-0.298,9.583,244.751,113.037
-1.649,0.017,-0.334,-22.095,233.154,107.239
-1.573,0.124,-0.33,-50.903,220.886,102.234
-1.487,0.263,-0.306,-68.909,209.229,98.816
-1.398,0.425,-0.267,-73.181,198.608,96.313
-1.329,0.514,-0.239,-63.965,189.697,94.971
-1.264,0.484,-0.234,-47.424,182.678,93.323
-1.201,0.299,-0.237,-32.043,175.537,88.318
-1.104,0.057,-0.224,-26.245,166.992,77.576
-1.006,-0.087,-0.182,-31.128,155.823,60.73
-0.93,-0.046,-0.123,-39.001,142.09,41.931
-0.853,0.105,-0.079,-39.001,128.662,27.283
-0.745,0.208,-0.042,-26.001,116.821,20.508
-0.638,0.141,-0.009,-4.883,104.858,20.081
-0.53,-0.016,0.023,14.16,91.064,20.996
-0.457,-0.082,0.071,23.743,75.073,19.531
-0.418,-0.024,0.139,25.574,58.411,17.334
-0.399,0.076,0.223,26.489,42.603,17.7
-0.406,0.116,0.318,29.541,29.236,21.545
-0.431,0.085,0.399,32.837,18.066,26.855
-0.427,0.014,0.459,32.593,10.132,30.884
