aX,aY,aZ,gX,gY,gZ
0.256,-0.486,1.62,18.799,21.973,0.549
0.219,-0.587,1.563,24.048,32.837,0.793
0.193,-0.439,1.518,22.522,41.809,2.258
0.118,-0.267,1.604,29.602,48.645,7.446
-0.573,0.148,3.128,53.101,59.021,21.729
-0.432,-2.099,3.207,102.356,121.277,56.641
1.599,-1.271,0.008,71.716,202.393,80.2
-1.565,-1.18,2.229,5.127,140.747,66.833
-0.385,-0.149,0.782,-6.653,146.057,49.133
-0.378,-0.036,1.392,0.305,141.235,29.663
0.227,-0.112,1.081,7.019,132.935,18.494
0.007,-0.331,1.109,7.263,116.089,11.841
-0.254,-0.463,1.168,4.395,100.83,8.057
-0.312,-0.385,1.126,-1.892,85.51,6.409
-0.12,-0.224,1.102,-9.094,73.242,6.042
-0.134,-0.16,1.107,-12.756,58.777,2.869
-0.21,-0.082,1.043,-12.695,42.297,0.671
-0.246,-0.08,1.002,-4.761,30.579,2.258
-0.263,-0.145,0.94,3.113,23.01,4.028
-0.364,-0.152,0.929,5.005,15.991,4.7
-0.378,-0.183,0.905,5.31,12.146,4.456
-0.36,-0.224,0.9,4.883,9.827,3.967
-0.372,-0.216,0.905,3.723,8.179,3.113
-0.372,-0.202,0.901,2.869,7.874,2.502
-0.365,-0.187,0.897,1.953,7.324,1.953
-0.375,-0.178,0.898,0.977,6.226,1.404
-0.376,-0.177,0.904,0.366,5.371,0.977
-0.39,-0.172,0.904,0.366,4.578,0.61
-0.386,-0.183,0.902,0.427,4.15,0.61
-0.385,-0.194,0.9,0,4.15,0.244
-0.382,-0.192,0.896,-1.038,3.845,-0.244
-0.391,-0.189,0.898,-1.953,3.54,-0.732
-0.396,-0.185,0.895,-2.869,3.784,-0.977
-0.743,-0.853,1.957,14.404,-334.778,-64.575
-0.572,-0.983,1.851,-3.296,-335.144,-79.651
-0.366,-0.933,1.58,-30.64,-335.449,-93.384
-0.232,-0.957,1.385,-54.199,-343.811,-106.262
0.18,-0.827,1.18,-72.083,-352.478,-118.774
0.122,-0.455,1.502,-78.308,-366.699,-126.221
-1.652,-0.415,2.308,-54.443,-388.428,-118.652
